C_to_P,N_to_P
30.35029163,5.613435252
25.39109365,5.443331153
47.32825177,7.804776286
25.78782949,6.634059843
45.8450302,11.91673713
24.31423923,6.191789187
81.04746411,22.11353281
29.30435169,8.041284658
27.96270668,5.594990229
48.28359564,6.587009773
48.54179669,8.671973651
123.0782771,13.06708757
118.8482576,10.57603743
