C_to_P,N_to_P,driver,condition,Study,Species,PFT
126.930818,19.667,T,treatment,Fu14,Trichodesmium sp. 21-75,Dz
128.22051,16.665,T,control,Fu14,Crocosphaera sp. WH0402,Dz
215.796464,25.532,T,treatment,Fu14,Crocosphaera sp. WH0402,Dz
100.470876,14.663,T,control,Fu14,Crocosphaera sp. WH0003,Dz
242.929295,29.789,T,treatment,Fu14,Crocosphaera sp. WH0003,Dz
88.435281,12.741,T,control,Fu14,Crocosphaera sp. WH0401,Dz
221.438208,27.264,T,treatment,Fu14,Crocosphaera sp. WH0401,Dz
85.4,17.79166667,T,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
95.1,19.40816327,T,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
217.4,45.29166667,T,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
251.9,49.39215686,T,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿GBRTRLI101,Dz
90.3,17.70588235,T,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
98.8,19,T,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
104.6,20.50980392,T,control,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
103.9,22.10638298,T,treatment,Hutchins07,Trichodesmium ﻿erythraeum ﻿IMS101,Dz
60.8,10.30508475,T,control,Jiang18,Trichodesmium erythraeum IMS101,Dz
98.9,19.39215686,T,treatment,Jiang18,Trichodesmium erythraeum IMS101,Dz
230.7,36.61904762,T,control,Jiang18,Trichodesmium erythraeum IMS101,Dz
240.8,35.94029851,T,treatment,Jiang18,Trichodesmium erythraeum IMS101,Dz
41.54208754,6.32972583,T,control,Kremp09,Scrippsiella hangoei,Din
45.18905473,6.841151386,T,treatment,Kremp09,Scrippsiella hangoei,Din
66.44010417,9.756696431,T,control,Kremp09,Gymnodinium corollarium,Din
73.05666667,11.86857143,T,treatment,Kremp09,Gymnodinium corollarium,Din
43.63411458,8.095982143,T,control,Kremp09,Woloszynskia halophila,Din
67.77850877,9.556390977,T,treatment,Kremp09,Woloszynskia halophila,Din
139.792,19.23125602,T,control,Levitan10,Trichodesmium sp. IMS101,Dz
164.413,24.7237594,T,treatment,Levitan10,Trichodesmium sp. IMS101,Dz
119.587,18.34156442,T,control,Levitan10,Trichodesmium sp. IMS101,Dz
196.823,32.98525222,T,treatment,Levitan10,Trichodesmium sp. IMS101,Dz
40.33171639,7.310252899,T,control,Martiny16,Prochlorococcus sp. VOL7,Pro
160.6954213,25.83965514,T,treatment,Martiny16,Prochlorococcus sp. VOL7,Pro
96.41311871,16.45450361,T,control,Martiny16,Prochlorococcus sp. VOL4,Pro
205.7332704,34.38723685,T,treatment,Martiny16,Prochlorococcus sp. VOL4,Pro
185.4190039,31.45640085,T,control,Martiny16,Prochlorococcus sp. UH18301,Pro
173.3522254,29.06888496,T,treatment,Martiny16,Prochlorococcus sp. UH18301,Pro
153.5499938,24.35201062,T,control,Martiny16,Prochlorococcus sp. VOL8,Pro
167.4217983,24.83242585,T,treatment,Martiny16,Prochlorococcus sp. VOL8,Pro
45.45454545,7.227272727,T,control,Nielsen91,Gyrodinium aureolum,Din
50,7.95,T,treatment,Nielsen91,Gyrodinium aureolum,Din
47.61904762,7.952380952,T,control,Nielsen91,Gyrodinium aureolum,Din
40,6.12,T,treatment,Nielsen91,Gyrodinium aureolum,Din
33.33333333,5.433333333,T,control,Nielsen91,Gyrodinium aureolum,Din
34.48275862,5.103448276,T,treatment,Nielsen91,Gyrodinium aureolum,Din
29.41176471,5.470588235,T,control,Nielsen96,Gymnodinium galatheanum,Din
55.55555556,10.88888889,T,treatment,Nielsen96,Gymnodinium galatheanum,Din
37.03703704,7.185185185,T,control,Nielsen96,Gymnodinium galatheanum,Din
43.47826087,9.217391304,T,treatment,Nielsen96,Gymnodinium galatheanum,Din
40,8.36,T,control,Nielsen96,Gymnodinium galatheanum,Din
43.47826087,8.913043478,T,treatment,Nielsen96,Gymnodinium galatheanum,Din
94.54134,9.795,T,control,Qu18,Coscinodiscus sp,Dia
139.5009,14.091,T,treatment,Qu18,Coscinodiscus sp,Dia
83.05146,11.205,T,control,Qu18,Coscinodiscus sp,Dia
117.089389,13.087,T,treatment,Qu18,Coscinodiscus sp,Dia
70.073166,9.582,T,control,Qu18,Coscinodiscus sp,Dia
114.138276,15.036,T,treatment,Qu18,Coscinodiscus sp,Dia
104.512368,11.056,T,control,Qu18,Coscinodiscus sp,Dia
142.06707,13.191,T,treatment,Qu18,Coscinodiscus sp,Dia
89.642896,11.273,T,control,Qu18,Coscinodiscus sp,Dia
116.794604,15.121,T,treatment,Qu18,Coscinodiscus sp,Dia
89.474736,11.596,T,control,Qu18,Coscinodiscus sp,Dia
127.364841,16.161,T,treatment,Qu18,Coscinodiscus sp,Dia
253,12.65,T,control,Roleda13,Thalassiosira pseudonana,Dia
207,8.28,T,treatment,Roleda13,Thalassiosira pseudonana,Dia
22,1.375,T,control,Roleda13,Thalassiosira pseudonana,Dia
78,7.090909091,T,treatment,Roleda13,Thalassiosira pseudonana,Dia
117,6.5,T,control,Roleda13,Odontella aurita,Dia
136,7.555555556,T,treatment,Roleda13,Odontella aurita,Dia
17,1.416666667,T,control,Roleda13,Odontella aurita,Dia
26,2.888888889,T,treatment,Roleda13,Odontella aurita,Dia
242,9.68,T,control,Roleda13,Nannochloropsis oculata,Euk
561,18.7,T,treatment,Roleda13,Nannochloropsis oculata,Euk
204,25.5,T,control,Roleda13,Nannochloropsis oculata,Euk
329,21.93333333,T,treatment,Roleda13,Nannochloropsis oculata,Euk
631,90.14285714,T,control,Roleda13,Isochrysis galbana,Euk
1926,107,T,treatment,Roleda13,Isochrysis galbana,Euk
133,14.77777778,T,control,Roleda13,Isochrysis galbana,Euk
252,25.2,T,treatment,Roleda13,Isochrysis galbana,Euk
241,30.125,T,control,Roleda13,Chromulina ochromonoides,Euk
280,18.66666667,T,treatment,Roleda13,Chromulina ochromonoides,Euk
23,3.285714286,T,control,Roleda13,Chromulina ochromonoides,Euk
77,7.7,T,treatment,Roleda13,Chromulina ochromonoides,Euk
121,12.1,T,control,Roleda13,Dunaliella tertiolecta,Euk
201,18.27272727,T,treatment,Roleda13,Dunaliella tertiolecta,Euk
6,1,T,control,Roleda13,Dunaliella tertiolecta,Euk
69,7.666666667,T,treatment,Roleda13,Dunaliella tertiolecta,Euk
69.91,10.07348703,T,control,Schaum18,Thalassiosira pseudonana,Dia
84.91,11.99293785,T,treatment,Schaum18,Thalassiosira pseudonana,Dia
147.8047335,11.91578204,T,control,Skau17,Emiliania huxleyi,Coc
130.5343621,9.252249161,T,treatment,Skau17,Emiliania huxleyi,Coc
240.5531519,21.21674936,T,control,Skau17,Prymnesium polylepis,Euk
229.9481615,17.62474922,T,treatment,Skau17,Prymnesium polylepis,Euk
216.2965411,17.23429246,T,control,Skau17,Chrysochromulina rotalis,Euk
145.9570817,12.11246576,T,treatment,Skau17,Chrysochromulina rotalis,Euk
194.39,36.33457944,T,control,Tew14,Nitzschia ovalis,Dia
216.7,36.9165247,T,treatment,Tew14,Nitzschia ovalis,Dia
92.4,18.11764706,T,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
136.4,27.83673469,T,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
147,21.30434783,T,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
241.6,38.34920635,T,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
90.6,13.93846154,T,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
102.1,15.46969697,T,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
80.1,11.60869565,T,control,Zhu16,Pseudo-nitzschia subcurvata,Dia
80.9,11.89705882,T,treatment,Zhu16,Pseudo-nitzschia subcurvata,Dia
151.5,23.30769231,T,control,Zhu16,Chaetoceros sp.,Dia
128.4,19.45454545,T,treatment,Zhu16,Chaetoceros sp.,Dia
147.5,18.67088608,T,control,Zhu16,Chaetoceros sp.,Dia
118.3,16.20547945,T,treatment,Zhu16,Chaetoceros sp.,Dia
75.9,12.04761905,T,control,Zhu16,Fragilariopsis cylindrus,Dia
63.2,9.028571429,T,treatment,Zhu16,Fragilariopsis cylindrus,Dia
85,12.14285714,T,control,Zhu16,Fragilariopsis cylindrus,Dia
82,11.88405797,T,treatment,Zhu16,Fragilariopsis cylindrus,Dia
80.033,11.23270175,T,control,Zhu17,Pseudo-nitzschia subcurvata,Dia
84.733,13.06398397,T,treatment,Zhu17,Pseudo-nitzschia subcurvata,Dia
89.316,13.27526754,T,control,Zhu17,Phaeocystis antarctica,Euk
96.256,15.31275851,T,treatment,Zhu17,Phaeocystis antarctica,Euk
